SampleID	Plant	Scientific.name	Genotype	Compartment	Site	Plot	Replicate	Month	Year	Collection.Date	Days.after.Emergence	Sample.name	SampleCont
G2R1_1_NF4	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R1	c	August	2020	20-Aug	60DAE	G2R1_1_NF4	FALSE
G2R1_1_NF11	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R1	d	August	2020	20-Aug	60DAE	G2R1_1_NF11	FALSE
G2R2_1_M4	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R2	a	August	2020	20-Aug	60DAE	G2R2_1_M4	FALSE
G2R2_1_M6	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R2	b	August	2020	20-Aug	60DAE	G2R2_1_M6	FALSE
G2R2_1_M10	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R2	c	August	2020	20-Aug	60DAE	G2R2_1_M10	FALSE
G2R2_1_M11	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R2	d	August	2020	20-Aug	60DAE	G2R2_1_M11	FALSE
G2R2_1_M12	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R2	e	August	2020	20-Aug	60DAE	G2R2_1_M12	FALSE
G2R2_1_NF4	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R2	a	August	2020	20-Aug	60DAE	G2R2_1_NF4	FALSE
G2R2_1_NF5	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R2	b	August	2020	20-Aug	60DAE	G2R2_1_NF5	FALSE
G2R2_1_NF6	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R2	c	August	2020	20-Aug	60DAE	G2R2_1_NF6	FALSE
G2R2_1_NF11	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R2	d	August	2020	20-Aug	60DAE	G2R2_1_NF11	FALSE
G2R2_1_NF12	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Non.Fertilized	R2	e	August	2020	20-Aug	60DAE	G2R2_1_NF12	FALSE
G2R3_1_M2	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R3	a	August	2020	20-Aug	60DAE	G2R3_1_M2	FALSE
G2R3_1_M6	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R3	b	August	2020	20-Aug	60DAE	G2R3_1_M6	FALSE
G2R3_1_M7	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R3	c	August	2020	20-Aug	60DAE	G2R3_1_M7	FALSE
G2R3_1_M9	Energy Sorghum	Sorghum bicolor	TAM17651	Mucilage	Fertilized	R3	d	August	2020	20-Aug	60DAE	G2R3_1_M9	FALSE
